vec_key,display_name_ja,color_code
tropical,トロピカル,#ffa500
tropical fruit,トロピカルフルーツ,#ffcc33
truffle,トリュフ,#d2b48c
tuberose,チュベローズ,#ffb6c1
turnup,カブ,#ffffff
turpentine,テレピン油,#8b4513
tutti frutti,トゥッティフルッティ,#ff69b4
umami,旨味,#ffa500
undecatriene,アンデカトリエン,#deb887
undecylenic,アンデシレン酸,#f5deb3
undergrowth,下草,#556b2f
unpleasant,不快な,#696969
unripe banana,未熟なバナナ,#ffff99
unripe fruit,未熟な果物,#ffcc00
unripe plum,未熟なプラム,#dda0dd
urine,尿,#ffd700
valerian,バレリアン,#98fb98
valeric,バレリック,#deb887
vanilla,バニラ,#f5deb3
vanillin,バニリン,#ffe4c4
vegetable,野菜,#7cfc00
vegetable skin,野菜の皮,#98fb98
velvety,ベルベットのような,#e0e0e0
verbena,バーベナ,#6b8e23
very faint,非常にかすか,#e0e0e0
very intense,非常に強い,#ff4500
very mild,非常に穏やか,#f5deb3
very slight,非常にわずか,#d3d3d3
very strong,非常に強い,#b22222
very sweet,非常に甘い,#ffd700
vetiver,ベチバー,#deb887
vetiver acetate,ベチバーアセテート,#ffe4c4
vine,つる,#556b2f
vinegar,酢,#fffacd
vinous,ワインのような,#d2691e
vinyl,ビニール,#808080
violet,スミレ,#dda0dd
violet-leaf,スミレの葉,#556b2f
walnut,クルミ,#8b4513
warm,温かい,#ffa07a
wasabi,ワサビ,#7cfc00
watercress,クレソン,#228b22
watermelon,スイカ,#ff6347
watery,水っぽい,#87cefa
wax,ワックス,#f5deb3
waxy,ワックスのような,#eedd82
weak,弱い,#c0c0c0
weak spice,弱いスパイス,#deb887
weakspice,弱いスパイス,#deb887
weedy,雑草のような,#556b2f
wet,濡れた,#add8e6
wet cloth,濡れた布,#f5f5f5
wetcloth,濡れた布,#f5f5f5
whiskey,ウィスキー,#cd853f
wild,野生の,#556b2f
wine,ワイン,#8b0000
wine_like,ワインのような,#d2691e
wine-lee,ワインの澱,#b22222
winey,ワインの香り,#ff4500
wintergreen,ウィンターグリーン,#98fb98
wood,木材,#8b4513
woody,木のような,#a0522d
yeast,イースト,#deb887
yeasty,イーストの香り,#f5deb3
ylang,イランイラン,#ffb6c1
